City,State,SizeRank,MarketHealthIndex,SellForGain,PrevForeclosed,ForeclosureRatio,ZHVI,MoM,YoY,ForecastYoYPctChange,StockOfREOs,NegativeEquity,Delinquency,DaysOnMarket
New York,NY,0,9.526413346,93.49,0.9324,0.5769,610700,0.626132806,8.898002853,0.044036352,11.9,0.08133425,0.130830268,166
Los Angeles,CA,1,7.001853568,93.64,5.4705,2.0276,562800,0.571837026,7.816091954,0.022805615,107.4,0.067477615,0.039871293,76
Philadelphia,PA,4,1.494902688,80,13.6842,4.641,120100,0.334168755,3.534482759,0.020574521,70.3,0.2161336,0.067620406,111
Phoenix,AZ,5,5.473586654,84.15,7.6968,3.0543,187200,0.862068966,9.090909091,0.038659188,92.2,0.179311172,0.023373999,68
Las Vegas,NV,6,2.96107507,81.2,13.261,4.7354,194000,0.674623768,9.542631282,0.059489691,88.5,0.223056902,0.076764043,78
San Diego,CA,8,8.556070436,88.07,3.8149,1.6844,528700,0.532420612,6.614236741,0.027665973,44.3,0.074846523,0.021122757,70
Dallas,TX,9,9.054680259,94.18,6.5959,4.0511,134200,0.750750751,15.98962835,0.061654247,62.2,0.083101387,0.024138656,73
San Jose,CA,10,9.122335496,95.64,3.3456,0.9157,808800,0.609528548,10.52200055,0.028187438,48.7,0.033369758,0.024816605,51
San Francisco,CA,12,9.410565338,97.44,1.311,0.3986,1118600,0.638776428,13.60958765,0.039469873,138.4,0.024385495,0.00723303,43
Columbus,OH,15,2.97497683,74.04,14.9694,7.2995,110400,1.098901099,7.184466019,0.039112319,72.9,0.190835265,0.044043794,80
Memphis,TN,16,0.833178869,73.26,21.28,10.2835,67800,0.295857988,1.497005988,0.035958702,73,0.234089849,0.053461919,86
Charlotte,NC,17,3.135310473,79.31,8.8688,5.7051,163700,0.367872471,6.092028516,0.035485644,66.5,0.130157935,0.04358689,85
Boston,MA,19,8.190917516,97.76,3.29,1.2154,478000,0.716392752,9.910324212,0.026811715,28.9,0.091515105,0.033045094,64
Seattle,WA,20,9.473586654,96.87,2.9508,1.4273,530100,0.569151964,13.10006401,0.067177891,35.1,0.066628477,0.011219316,46
Baltimore,MD,21,0.657089898,78.79,24.1068,8.7795,109700,0.54995417,1.951672862,0.015496809,102.9,0.248942506,0.078050452,121
Denver,CO,22,9.59592215,97.67,3.448,0.8689,330000,0.57909174,13.71467953,0.050163636,47,0.065847327,0.007926287,63
Nashville,TN,23,7.810936052,93.52,6.3383,5.2265,190900,0.951877314,12.36021189,0.043394447,51.1,0.076735578,0.017242282,68.5
Milwaukee,WI,24,0.623725672,69,9.9611,8.4265,93500,0,0.429645542,0.015101604,88.2,0.33046347,0.053456587,114
Tucson,AZ,25,2.611677479,74.14,12.0619,4.8272,147700,0.067750678,1.581843191,0.038320921,70.1,0.22451319,0.031710051,88
Portland,OR,26,9.007414272,95.69,4.4118,4.0269,345500,1.289944298,15.74539363,0.054231548,37.2,0.048877687,0.028754234,56
Oklahoma City,OK,27,6.942539388,89.85,3.2006,1.6191,125700,0.319233839,3.371710526,0.029164678,65.4,0.091804084,0.023317553,84
Omaha,NE,28,8.8081557,80,0.8723,2.355,139300,0.795947902,6.743295019,0.034630294,2,0.111925313,0.019387669,68.5
Fresno,CA,30,3.47265987,83.57,11.3198,3.5408,187300,0.375133976,5.224719101,0.032258409,67.4,0.183433752,0.0363061,76
Sacramento,CA,31,6.000926784,85.44,8.9201,3.9771,256600,0.904443571,10.65114273,0.064766173,73,0.155577214,0.031620432,67
Mesa,AZ,32,5.376274328,87.98,7.5599,3.3984,199800,0.654911839,8.351409978,0.037447447,70.9,0.153656843,0.023030659,64
Long Beach,CA,33,6.574606117,91.98,3.7173,1.8807,501400,0.54140766,5.580122131,0.015556442,97.2,0.082146633,0.030351888,75
Virginia Beach,VA,35,3.359592215,76.17,9.8346,4.7014,248700,0.080482897,2.853598015,0.011620426,31.7,0.181035087,0.024615621,99
Colorado Springs,CO,36,6.467099166,90.29,4.8604,3.0158,218900,0.320806599,4.636711281,0.031434445,65,0.110516543,0.012832788,76
Oakland,CA,39,7.865616311,97.09,7.5567,2.7634,579900,1.221853727,17.19886823,0.055725125,73.7,0.060319908,0.039186438,51
Tulsa,OK,40,4.563484708,79.02,4.6885,2.3433,104300,0,2.75862069,0.026385427,81.2,0.095405487,0.022395491,92
Cleveland,OH,41,0.010194625,71.43,18.7672,7.9516,50000,-1.185770751,-6.015037594,-0.00206,131.2,0.338389309,0.06994022,91
Honolulu,HI,42,8.298424467,89.7,1.0569,0.3444,625900,0.144,3.814894676,0.016063269,37.4,0.037850647,0.017188137,90
Minneapolis,MN,43,2.924930491,81.72,9.4887,5.3738,203400,0.246426811,2.3138833,0.027920354,71,0.131715864,0.018920812,87
Arlington,TX,45,8.509731233,93.72,5.6995,3.4791,152200,0.727994705,13.32836932,0.05695795,51.9,0.050092525,0.029406683,64
Raleigh,NC,46,6.188137164,80.3,4.7012,2.7098,198400,0.252652855,3.603133159,0.035443548,28.4,0.083114561,0.027925008,71
Anaheim,CA,49,8.530120482,90.59,4.3245,1.7832,504100,0.558547776,8.036862409,0.019978179,43.6,0.066396981,0.035448908,84
Santa Ana,CA,50,6.982391103,94.55,5.6438,1.7311,442600,0.590909091,8.16226784,0.019168549,46.7,0.095907061,0.045878573,77
Aurora,CO,51,9.232622799,98.03,5.355,1.5017,240800,0.837520938,18.32923833,0.060971761,56,0.06443276,0.013322389,58
Saint Louis,MO,52,2.597775718,72.28,10.5657,9.7434,101800,0.394477318,7.157894737,0.033428291,98,0.290094422,0.03754499,96.5
Cincinnati,OH,54,3.415199259,85.71,4.6178,5.3309,110800,0.362318841,3.648269411,0.027382671,77.5,0.179516776,0.041842871,105
Pittsburgh,PA,55,6.573679333,91.89,6.012,1.0221,106100,0.378429518,4.945598417,0.025504241,40.3,0.103057515,0.023898082,93
Riverside,CA,56,6.660797034,88.14,7.5247,2.8924,313300,0.513314084,6.782549421,0.059272263,50.2,0.124194661,0.033072914,73
Bakersfield,CA,59,4.607970343,82.04,8.6479,4.1971,209200,0.143609382,4.704704705,0.045803059,69.9,0.196372837,0.031083461,86
Saint Paul,MN,60,4.267840593,76.67,13.575,4.9456,170800,0.70754717,6.883604506,0.038629977,80.7,0.144460619,0.027319746,96
Toledo,OH,61,0.751621872,68.25,12.0878,3.7081,56200,0,-0.530973451,0.013576512,88,0.311895654,0.041598588,101
Silver Spring,MD,62,1.873030584,81.13,10.4108,3.7506,362300,0,-1.226826609,-0.001048855,31.8,0.142448622,0.047478118,104.5
Stockton,CA,66,6.670991659,85.87,12.9999,5.524,221700,1.048313582,13.22778345,0.0854894,86.2,0.197211685,0.035958503,85
Plano,TX,67,9.892493049,95.09,2.5433,1.0387,279100,0.685425685,14.76151316,0.060003583,27.3,0.039556644,0.00685778,61
Chandler,AZ,68,6.392956441,83.62,4.7028,1.7567,263500,0.572519084,5.442176871,0.027920304,49.4,0.125056723,0.019393627,65
Henderson,NV,70,3.341056534,71.88,10.4663,4.581,253000,0.396825397,7.248834252,0.054794466,76.3,0.184054439,0.057959786,83
Modesto,CA,71,7.287303058,79.8,12.3941,2.961,226700,0.6660746,11.95061728,0.06106749,68.2,0.153404475,0.033063904,77.5
Mobile,AL,72,1.559777572,70.81,16.5722,12.2289,102500,0,3.430877901,0.030985366,72.2,0.20103173,0.039592186,121
Glendale,AZ,75,5.34476367,80.68,10.1729,3.6329,189400,1.067235859,10.30867793,0.043495248,91.1,0.16954829,0.024213766,68
Lincoln,NE,82,8.441149212,86.81,2.9418,1.4676,147600,0.408163265,3.797468354,0.033265583,25.4,0.06632091,0.01446585,73.5
San Bernardino,CA,83,4.639481001,94.2,11.4598,6.4825,216900,0.88372093,10.49414162,0.068441678,75.8,0.194212755,0.050705216,78
Corona,CA,84,6.564411492,80.22,6.7633,1.9726,416700,0.240558095,3.502235469,0.050705544,49.2,0.103482879,0.041909874,80
Chula Vista,CA,85,5.683039852,90.91,7.8576,2.8695,451900,0.848024994,7.467300832,0.031931843,64.5,0.104353031,0.035980797,68
Madison,WI,88,9.321594069,82.21,1.2932,1.4191,208700,0.772573636,4.089775561,0.034216579,26.4,0.073124299,0.013289924,89.5
Garland,TX,89,8.948100093,91.67,8.4955,4.2322,141200,0.785153462,16.98425849,0.066338527,49.2,0.047597884,0.019871059,64
Fontana,CA,90,6.148285449,92.31,8.8238,3.2308,321900,0.782717595,6.518861681,0.059496738,66.9,0.123645026,0.05806406,77
North Las Vegas,NV,94,2.066728452,65.52,14.569,5.0438,178500,0.790513834,7.92019347,0.055932773,101.4,0.270895869,0.078315558,81
Fremont,CA,96,9.870250232,100,1.899,0.7093,878200,1.09358812,17.10894786,0.051468914,39.7,0.030997023,0.001197789,49
Fayetteville,NC,97,0.726598703,76.03,20.8509,8.3361,105700,-0.283018868,-0.937207123,0.03782403,47.4,0.277437481,0.040807298,136
Arlington,VA,99,7.452270621,86.63,0.8295,0.6949,610800,0.609454785,0.510120125,0.003891618,16.3,0.102859681,0.010303948,74
Irving,TX,100,9.570898981,90.7,6.2466,2.2172,151200,0.665778961,13.0044843,0.056957672,38.4,0.061361598,0.012275815,72
Gilbert,AZ,101,5.676552363,80.89,4.7508,2.9783,279800,0.466786355,6.712433257,0.031208006,67,0.143904976,0.016529821,67
Scottsdale,AZ,102,6.627432808,82.8,3.8936,1.5047,410300,0.465230167,4.962906114,0.026741409,60.2,0.106170331,0.016566522,81
Rochester,NY,103,1.462465246,76.42,19.716,9.1611,63900,-0.31201248,3.231017771,0.02256651,98.6,0.0854559,0.088767748,107
Winston-Salem,NC,104,1.34476367,70.33,10.8375,10.5838,114100,0.087719298,3.539019964,0.040017528,46.4,0.164072982,0.045472987,101
Irvine,CA,105,9.074142725,87.27,1.6456,1.3168,769600,0.851788756,3.21888412,0.005050676,31.8,0.065094674,0.007996229,78
Richmond,VA,106,1.577386469,82.21,11.3456,6.4898,151700,0.663570007,5.861828332,0.023394858,368,0.197573179,0.041185311,81
Oxnard,CA,108,8.016682113,87.5,5.4027,2.0142,428600,0.942063118,7.445475056,0.045258983,57,0.109550919,0.044255821,89
Santa Rosa,CA,111,8.862835959,87.5,1.4157,1.2648,491000,0.511770727,10.33707865,0.028965377,68.8,0.058158922,0.027637389,59
Des Moines,IA,112,1.320667285,85.86,10.2941,9.2918,113500,0.088183422,2.994555354,0.025101322,62.1,0.107481561,0.051177628,90
Reno,NV,113,6.430027804,84.94,6.0734,3.5911,278600,0.905469033,16.08333333,0.048169419,73.7,0.108806529,0.048825504,70
Spokane,WA,114,5.618164968,81.38,9.8802,4.473,150200,0.468227425,8.526011561,0.031418109,42.3,0.12894825,0.036286754,90
Tacoma,WA,116,4.275254866,88.81,12.1179,6.4792,211000,1.005265677,11.34564644,0.061805687,73.3,0.157165266,0.055399202,76
Oceanside,CA,118,6.834105653,86.05,5.8898,1.2303,446700,0.494938133,7.096619516,0.029659727,50.8,0.091380358,0.027764574,63.5
Woodbridge,VA,120,2.784986098,83.85,13.7823,4.6921,283500,0.247524752,4.151359295,0.017319224,28.7,0.178334803,0.026659967,88
Glendale,CA,122,7.227988879,93.65,5.3508,1.6561,705100,0.685420534,6.57496977,0.016970642,90.9,0.049633162,0.013668456,63
Birmingham,AL,125,0.638554217,73.57,21.4505,10.8977,60600,0.331125828,4.663212435,0.029306931,142.5,0.263500781,0.054758869,111
Huntington Beach,CA,127,9.589434662,88.76,2.9894,0.6579,730100,0.828614832,7.147050191,0.016856595,30.2,0.046855313,0.019062461,77.5
Akron,OH,128,0.219647822,76.34,23.4981,8.7111,60900,0,-0.163934426,0.015353038,83.3,0.27004949,0.048517521,101
Salinas,CA,130,6.993512512,97.22,9.0727,1.9823,377400,0.425758382,8.199541284,0.044713831,52.2,0.1137263,0.047611024,77
Worcester,MA,131,2.345690454,57.14,14.4874,5.7566,191600,0.209205021,6.208425721,0.032792276,51.8,0.190080397,0.085595483,115
Moreno Valley,CA,132,4.1918443,78.33,11.3535,3.378,262400,0.382555471,6.45030426,0.061238567,61,0.158652309,0.047211266,78
Little Rock,AR,133,1.720111214,80.15,15.4799,6.0639,126700,0.078988942,0.158102767,0.025011839,72.5,0.150057763,0.047023744,108
Providence,RI,135,0.593141798,76,14.0611,9.8683,156300,-0.063938619,2.223675605,0.031279591,71.3,0.250546726,0.078369561,112
Lancaster,CA,137,2.000926784,82.69,14.7349,5.4882,211500,0.714285714,5.855855856,0.017966903,188.1,0.206013325,0.047806667,87
Fort Collins,CO,138,9.108433735,97.52,3.2101,0.3971,313400,0.577663671,12.93693694,0.034406509,56.1,0.066339085,0.002849117,61
Yonkers,NY,141,7.437442076,80,2.2857,1.6465,391100,0.876966727,5.332615136,0.013978522,21.1,0.120880013,0.130590502,187
Hayward,CA,142,8.21686747,91.53,4.2937,1.5369,507000,0.795228628,11.55115512,0.035159763,54.5,0.0741956,0.036368544,61
Ontario,CA,147,7.71918443,90.91,8.9981,1.9959,348600,0.722334585,6.540342298,0.058092369,58.8,0.103125235,0.049797663,79
Grand Prairie,TX,149,7.962928638,88.54,7.5244,3.4276,148200,0.610997963,13.56321839,0.05765857,37.6,0.059951012,0.037183171,64
Rancho Cucamonga,CA,150,8.135310473,88.33,5.753,1.5767,443900,0.703266788,2.75462963,0.041896824,92.8,0.087958407,0.038777293,83
Garden Grove,CA,153,9.308619092,93.02,2.1377,0.6135,499000,0.767366721,9.071038251,0.023280561,33,0.073820308,0.034648904,75
Roanoke,VA,155,2.47265987,80.36,19.6421,5.6243,139400,-0.071684588,-0.143266476,0.024354376,33.7,0.144298468,0.025041286,124
Tempe,AZ,156,7.229842447,83.87,4.6877,2.8735,243200,0.745650373,9.205208801,0.040407072,67.8,0.139428807,0.013235183,63
Vancouver,WA,157,7.790546803,93.1,6.0012,3.3008,241800,0.666111574,11.99629458,0.043928867,42.2,0.070750385,0.036057914,63
Huntsville,AL,158,3.273401297,81.25,10.17,4.685,134700,0.223214286,1.126126126,0.052301411,55.9,0.157527752,0.026610049,133
El Cajon,CA,159,7.884151993,88.33,5.0701,2.2346,435200,0.717426522,6.692816867,0.028336397,52.4,0.0976159,0.0312425,77
Palmdale,CA,160,3.339202966,86.08,11.6307,4.6525,239300,0.50398992,8.084914182,0.023221897,149.5,0.183658869,0.048044418,89.5
Elk Grove,CA,162,6.722891566,79.09,8.1988,2.2924,355100,0.59490085,7.508325764,0.055336525,70.7,0.115612412,0.04195186,75
Pueblo,CO,163,4.456904541,90.38,9.1411,4.9457,122600,0.574241181,9.074733096,0.054216966,89.2,0.150958988,0.031976229,79
Fredericksburg,VA,164,2.841519926,75,9.8116,4.3032,238000,0.210526316,3.703703704,0.011193277,24.1,0.194536648,0.028512081,104
Springfield,MA,166,0.46802595,65.38,17.7806,9.0163,128000,0.078186083,2.4,0.021203125,69.4,0.200371984,0.111942886,110
Murfreesboro,TN,168,7.805375348,92.92,4.3914,2.9884,176900,0.682982356,9.603469641,0.03285472,61.3,0.076978188,0.011078889,72
Peoria,AZ,171,6.227062095,84.05,5.8372,2.12,232400,0.693240901,6.948918546,0.033076592,75,0.167574076,0.014473135,71
Fairfax,VA,172,5.229842447,79.84,4.1432,0.6757,497600,0.080450523,-0.44017607,0.001424839,8.8,0.082434018,0.010017564,87
Santa Clarita,CA,173,4.745134384,91.43,4.5393,2.1646,463100,0.433745391,4.655367232,0.013234723,102.7,0.08403479,0.029170912,66
Pomona,CA,174,6.107506951,90.24,6.8289,2.0829,340500,0.531443756,4.287901991,0.012883994,99.9,0.089647057,0.042350306,86
Salem,OR,178,5.458758109,86.75,10.7658,8.1873,197400,0.765696784,10.27932961,0.05529382,53.9,0.110090432,0.047016851,91
Paterson,NJ,180,0.014828545,68.75,11.6554,12.9527,193400,-1.276161307,-10.66974596,-0.020367115,110.1,0.360136423,0.254632864,214
Lakewood,CO,181,9.604263207,97.84,2.7943,0.8216,321800,1.131363922,15.9221902,0.046799254,51.7,0.040053757,0.008441012,55
Alexandria,VA,182,5.734939759,79.57,4.3478,2.6147,497800,0.26183283,3.149606299,0.013933307,16.5,0.127928042,0.010584844,82
Dayton,OH,183,0.615384615,60.56,21.4786,8.0335,48300,0.415800416,2.114164905,0.030062112,89.1,0.374814026,0.055521104,111
Yuma,AZ,184,2.03892493,85.71,15.4197,4.2613,133400,0.075018755,1.290812453,0.05434033,45.8,0.245687842,0.033105023,124
Sunnyvale,CA,185,9.887859129,91.84,0.5495,0.4751,1359900,0.77812361,21.48472396,0.053826017,41.4,0.019849613,0,44
Visalia,CA,186,6.138090825,87.78,10.8265,4.8197,196100,0.512557663,8.522412839,0.052784294,71.7,0.189188327,0.029352715,84
Charleston,SC,188,7.353104727,81.6,5.2968,1.5853,253800,0.355871886,7.770700637,0.031930654,40.7,0.094496983,0.029271757,101
Eugene,OR,190,7.16218721,84.93,6.9156,4.1842,240200,0.544160737,6.001765225,0.029263114,31.7,0.099765099,0.034078878,83.5
Escondido,CA,191,6.350324374,92,8.3558,1.5262,412000,0.758131573,4.621635348,0.024752427,51.8,0.087290153,0.026503268,68
Pasadena,CA,196,8.329935125,91.43,2.8284,1.1144,710000,0.381733352,6.766917293,0.015856338,97.9,0.043560361,0.016271934,68
Torrance,CA,197,8.215013902,93.44,2.7968,1.1517,723800,0.346596423,5.203488372,0.011595745,77,0.040462678,0.012087398,69
Columbia,SC,198,2.430954588,75.71,7.4797,4.9715,124900,0.40192926,1.297648013,0.035868695,50.3,0.223892137,0.047003877,121
Mesquite,TX,200,6.731232623,88.37,10.3617,6.2475,125500,0.319744205,13.57466063,0.059442231,70.7,0.062959458,0.035767393,64
Fullerton,CA,201,9.139017609,85.45,4.9906,0.5411,574600,0.630472855,8.41509434,0.017307692,37.8,0.06321361,0.025791404,77
McKinney,TX,203,9.794253939,91.51,1.502,0.9226,258800,0.58297707,14.76718404,0.06427357,46.6,0.047252466,0.013066539,61
Renton,WA,205,6.240963855,85.22,7.712,5.5622,359200,0.616246499,10.31941032,0.05873608,50.3,0.101537793,0.030838655,61
Canton,OH,206,0.78313253,79.63,15.4136,4.3296,85100,0,0.23557126,0.022855464,64.4,0.192441217,0.037354085,91.5
Santa Maria,CA,208,7.647822057,90,7.3903,1.1532,328200,0.58228624,7.360157017,0.043601463,36.8,0.143008492,0.029351172,93
Inglewood,CA,209,0.938832252,95,14.4327,3.5503,388500,-0.025733402,3.655282818,0.009930502,96.2,0.119537219,0.051221007,73
Orange,CA,210,9.329008341,92,3.6249,1.4023,605500,0.765518389,7.548845471,0.014284063,34.1,0.056041607,0.028455845,79
New Haven,CT,211,0.832252085,81.82,8.9602,1.234,151100,0.066225166,-4.063492063,0.001568498,68.3,0.284330736,0.078263215,140
Compton,CA,214,3.836886006,72.22,17.878,4.7955,307500,0.852738603,11.94029851,0.030230894,122.6,0.132751517,0.075252546,96
Bellevue,WA,216,9.784059314,91.96,2.0716,1.392,659600,0.426309379,10.0617387,0.060918739,25.2,0.055961008,0.007597218,56
Queen Creek,AZ,221,6.105653383,84.76,8.899,3.0366,212400,0.568181818,11.02979613,0.034077213,40.1,0.185372245,0.025127129,79
Hartford,CT,225,0.729379055,66.67,13.4877,1.1738,89900,0.22296544,4.292343387,0.004204672,135.8,0.548345819,0.067755318,111
Stamford,CT,226,4.232622799,71.88,0.8545,0.8966,457400,-0.218150087,0.131348511,0.006020988,26.9,0.125115272,0.0646741,119.5
Simi Valley,CA,228,9.18257646,89.09,4.3267,1.5035,512200,0.886350207,6.597294485,0.039072628,41.7,0.072852418,0.034426948,74
Concord,CA,229,7.414272475,89.04,7.1694,1.3107,493900,0.631621842,10.27014959,0.027359789,51.3,0.074404076,0.023182158,51
Elizabeth,NJ,231,0.304911956,70,16.8933,10.1865,244000,1.244813278,1.539741989,0.021979508,110.9,0.321882969,0.213254057,141
Frisco,TX,232,9.96107507,94.67,1.5417,0.844,350800,0.688863375,15.1674327,0.063888255,19.2,0.049529402,0.003588896,63
Carrollton,TX,234,9.923076923,91.92,3.0533,1.7812,214000,0.943396226,16.30434783,0.065574766,18.3,0.037651287,0.007683765,54
Allentown,PA,236,0.397590361,73.77,19.5025,8.9975,103000,0.389863548,2.589641434,0.017378641,95.6,0.223731846,0.089690236,110
Vallejo,CA,238,6.520852641,86.21,10.1857,2.5982,299800,0.874831763,13.08940023,0.068609073,74.1,0.187677175,0.042367185,69
Santa Clara,CA,240,9.93141798,98.21,0.8407,0.3633,976100,0.826360913,17.57407854,0.051116689,42.8,0.025141842,0.003114966,49
Surprise,AZ,244,4.214087118,86.18,8.9321,3.3851,210100,0.815738964,7.030056037,0.032517849,79.7,0.184715569,0.018647719,63
Hemet,CA,246,5.294717331,78.46,11.1751,4.8568,205000,0.440960314,7.10553814,0.064702439,21.9,0.185327813,0.044316835,80.5
Norman,OK,247,8.7442076,86.14,1.8404,1.3504,151400,0.664893617,4.92030492,0.027153236,48.2,0.081037387,0.01102667,85
